Reviewed?,Sign-off,String Key,Current Reference (English),Used Reference (English),String Value,Comments
TRUE,Cello,misc.additionalNames.item.withAccent,{NAME} {ACCENT},{NAME} {ACCENT},{NAME} {ACCENT},
TRUE,Cello,misc.additionalNames.item.accent.withAnnotation,({ANNOTATION}),({ANNOTATION}),({ANNOTATION}),
TRUE,"Niklink, Cello",misc.alt.albumCover,album cover,album cover,carátula del álbum,
TRUE,"Niklink, Cello",misc.alt.albumBanner,album banner,album banner,banner del álbum,
TRUE,"Niklink, Cello",misc.alt.trackCover,track cover,track cover,carátula de la pista,
TRUE,"Niklink, Cello",misc.alt.artistAvatar,artist avatar,artist avatar,avatar del artista,
TRUE,"Niklink, Cello",misc.alt.flashArt,flash art,flash art,arte del flash,
TRUE,"Niklink, Cello",misc.artistCommentary,Artist commentary:,Artist commentary:,Comentario del artista:,
TRUE,Cello,misc.artistCommentary.entry.title,{ARTISTS}:,{ARTISTS}:,{ARTISTS}:,
FALSE,Cello,misc.artistCommentary.entry.title.noArtists,Unknown artist,Unknown artist,Artista desconocido,
TRUE,Cello,misc.artistCommentary.entry.title.withAccent,{ARTISTS}: {ACCENT},{ARTISTS}: {ACCENT},{ARTISTS}: {ACCENT},
TRUE,Cello,misc.artistCommentary.entry.title.accent.withAnnotation,({ANNOTATION}),({ANNOTATION}),({ANNOTATION}),
TRUE,Cello,misc.artistCommentary.entry.title.date,{DATE},{DATE},{DATE},
TRUE,Cello,misc.artistCommentary.entry.title.date.range,{DATE_RANGE},{DATE_RANGE},{DATE_RANGE},
FALSE,Cello,misc.artistCommentary.entry.title.date.accessed,accessed {DATE},accessed {DATE},accesado {DATE},
FALSE,Cello,misc.artistCommentary.entry.title.date.captured,captured {DATE},captured {DATE},capturado {DATE},
FALSE,Cello,misc.artistCommentary.entry.title.date.around,around {DATE},around {DATE},alrededor {DATE},
FALSE,Cello,misc.artistCommentary.entry.title.date.around.range,around {DATE_RANGE},around {DATE_RANGE},alrededor {DATE_RANGE},
FALSE,Cello,misc.artistCommentary.entry.title.date.sometime.range,sometime {DATE_RANGE},sometime {DATE_RANGE},en algun momento de {DATE_RANGE},
FALSE,Cello,misc.artistCommentary.entry.title.date.throughout.range,throughout {DATE_RANGE},throughout {DATE_RANGE},a traves de {DATE_RANGE},
FALSE,Cello,misc.artistCommentary.entry.seeOriginalRelease,See {ORIGINAL}!,See {ORIGINAL}!,¡Véase {ORIGINAL}!,
TRUE,Cello,misc.artistCredit.withNormalArtists,{NORMAL},{NORMAL},{NORMAL},
FALSE,Cello,misc.artistCredit.withFeaturingArtists,feat. {FEATURING},feat. {FEATURING},colaborando con {FEATURING},see releaseInfo.by.featuring -whis
FALSE,Cello,misc.artistCredit.withNormalArtists.withFeaturingArtists,{NORMAL} feat. {FEATURING},{NORMAL} feat. {FEATURING},{NORMAL} colaborando con {FEATURING},see releaseInfo.by.featuring -whis
TRUE,Cello,misc.artistLink,{ARTIST},{ARTIST},{ARTIST},
TRUE,Cello,misc.artistLink.withContribution,{ARTIST} ({CONTRIB}),{ARTIST} ({CONTRIB}),{ARTIST} ({CONTRIB}),
TRUE,Cello,misc.artistLink.withEditsForWiki,{ARTISTS} ({EDITS}),{ARTISTS} ({EDITS}),{ARTISTS} ({EDITS}),
FALSE,Cello,misc.artistLink.withEditsForWiki.edits,+ edits,+ edits,+ ediciones,
FALSE,Cello,misc.artistLink.withEditsForWiki.editsLine,Edits for wiki by {ARTISTS},Edits for wiki by {ARTISTS},Ediciones para la wikia por {ARTISTS},
FALSE,Cello,misc.artistLink.noExternalLinkPlatformName,Other,Other,Otro,
TRUE,Cello,misc.artistLink.chronology.previous.symbol,←,←,←,
FALSE,Cello,misc.artistLink.chronology.previous.info,Previous by this artist,Previous by this artist,Previo por este artista,
FALSE,Cello,misc.artistLink.chronology.previous.info.withKind,Previous {KIND} by this artist,Previous {KIND} by this artist,Previo {KIND} por este artista,
TRUE,Cello,misc.artistLink.chronology.next.symbol,→,→,→,
